,Well,Fluor,Target,Content,Sample,Melt Temp
,A01,SYBR,,Std-01,,88.5
,A02,SYBR,,Std-01,,88.5
,A03,SYBR,,Std-01,,88.5
,A04,SYBR,,Unkn-01,,89
,A05,SYBR,,Unkn-01,,89
,A06,SYBR,,Unkn-01,,89
,A07,SYBR,,Unkn-09,,88.5
,A08,SYBR,,Unkn-09,,88.5
,A09,SYBR,,Unkn-09,,88.5
,A10,SYBR,,Unkn-17,,88.5
,A11,SYBR,,Unkn-17,,88.5
,A12,SYBR,,Unkn-17,,88.5
,B01,SYBR,,Std-02,,88.5
,B02,SYBR,,Std-02,,88.5
,B03,SYBR,,Std-02,,88.5
,B04,SYBR,,Unkn-02,,89
,B05,SYBR,,Unkn-02,,89
,B06,SYBR,,Unkn-02,,89
,B07,SYBR,,Unkn-10,,89
,B08,SYBR,,Unkn-10,,89
,B09,SYBR,,Unkn-10,,89
,B10,SYBR,,Unkn-18,,88.5
,B11,SYBR,,Unkn-18,,88.5
,B12,SYBR,,Unkn-18,,88.5
,C01,SYBR,,Std-03,,88.5
,C02,SYBR,,Std-03,,88.5
,C03,SYBR,,Std-03,,88.5
,C04,SYBR,,Unkn-03,,89
,C05,SYBR,,Unkn-03,,89
,C06,SYBR,,Unkn-03,,89
,C07,SYBR,,Unkn-11,,88.5
,C08,SYBR,,Unkn-11,,88.5
,C09,SYBR,,Unkn-11,,88.5
,C10,SYBR,,Unkn-19,,89
,C11,SYBR,,Unkn-19,,89
,C12,SYBR,,Unkn-19,,89
,D01,SYBR,,Std-04,,88.5
,D02,SYBR,,Std-04,,88.5
,D03,SYBR,,Std-04,,88.5
,D04,SYBR,,Unkn-04,,89
,D05,SYBR,,Unkn-04,,89.5
,D06,SYBR,,Unkn-04,,89
,D07,SYBR,,Unkn-12,,89
,D08,SYBR,,Unkn-12,,89
,D09,SYBR,,Unkn-12,,89
,D10,SYBR,,Unkn-20,,88.5
,D11,SYBR,,Unkn-20,,88.5
,D12,SYBR,,Unkn-20,,88.5
,E01,SYBR,,Std-05,,88.5
,E02,SYBR,,Std-05,,88.5
,E03,SYBR,,Std-05,,88.5
,E04,SYBR,,Unkn-05,,89
,E05,SYBR,,Unkn-05,,89
,E06,SYBR,,Unkn-05,,89
,E07,SYBR,,Unkn-13,,None
,E08,SYBR,,Unkn-13,,89
,E09,SYBR,,Unkn-13,,89
,E10,SYBR,,Unkn-21,,88.5
,E11,SYBR,,Unkn-21,,88.5
,E12,SYBR,,Unkn-21,,88.5
,F01,SYBR,,Std-06,,88.5
,F02,SYBR,,Std-06,,88.5
,F03,SYBR,,Std-06,,88.5
,F04,SYBR,,Unkn-06,,89
,F05,SYBR,,Unkn-06,,89
,F06,SYBR,,Unkn-06,,89
,F07,SYBR,,Unkn-14,,88.5
,F08,SYBR,,Unkn-14,,88.5
,F09,SYBR,,Unkn-14,,88.5
,F10,SYBR,,Unkn-22,,89.5
,F11,SYBR,,Unkn-22,,89.5
,F12,SYBR,,Unkn-22,,89.5
,G01,SYBR,,Std-07,,88.5
,G02,SYBR,,Std-07,,88.5
,G03,SYBR,,Std-07,,88.5
,G04,SYBR,,Unkn-07,,89
,G05,SYBR,,Unkn-07,,89
,G06,SYBR,,Unkn-07,,89
,G07,SYBR,,Unkn-15,,88.5
,G08,SYBR,,Unkn-15,,88.5
,G09,SYBR,,Unkn-15,,88.5
,G10,SYBR,,Unkn-23,,88.5
,G11,SYBR,,Unkn-23,,88.5
,G12,SYBR,,Unkn-23,,88.5
,H01,SYBR,,NTC,,None
,H02,SYBR,,NTC,,None
,H03,SYBR,,NTC,,None
,H04,SYBR,,Unkn-08,,89
,H05,SYBR,,Unkn-08,,89
,H06,SYBR,,Unkn-08,,89
,H07,SYBR,,Unkn-16,,88.5
,H08,SYBR,,Unkn-16,,88.5
,H09,SYBR,,Unkn-16,,88.5
,H10,SYBR,,Unkn-24,,87.5
,H11,SYBR,,Unkn-24,,88.5
,H12,SYBR,,Unkn-24,,88.5
