,Well,Fluor,Target,Content,Sample,Melt Temp
,A01,SYBR,,Std-01,,91
,A02,SYBR,,Std-01,,91
,A03,SYBR,,Std-01,,91
,A04,SYBR,,Unkn-01,,88
,A05,SYBR,,Unkn-01,,91
,A06,SYBR,,Unkn-01,,91
,A07,SYBR,,Unkn-09,,90
,A08,SYBR,,Unkn-09,,90.5
,A09,SYBR,,Unkn-09,,90
,A10,SYBR,,Unkn-17,,None
,A11,SYBR,,Unkn-17,,None
,A12,SYBR,,Unkn-17,,None
,B01,SYBR,,Std-02,,91
,B02,SYBR,,Std-02,,91
,B03,SYBR,,Std-02,,91
,B04,SYBR,,Unkn-02,,88
,B05,SYBR,,Unkn-02,,88
,B06,SYBR,,Unkn-02,,88
,B07,SYBR,,Unkn-10,,87.5
,B08,SYBR,,Unkn-10,,90
,B09,SYBR,,Unkn-10,,90
,B10,SYBR,,Unkn-18,,None
,B11,SYBR,,Unkn-18,,None
,B12,SYBR,,Unkn-18,,None
,C01,SYBR,,Std-03,,91
,C02,SYBR,,Std-03,,91
,C03,SYBR,,Std-03,,91
,C04,SYBR,,Unkn-03,,87.5
,C05,SYBR,,Unkn-03,,87.5
,C06,SYBR,,Unkn-03,,None
,C07,SYBR,,Unkn-11,,90
,C08,SYBR,,Unkn-11,,90
,C09,SYBR,,Unkn-11,,90
,C10,SYBR,,Unkn-19,,None
,C11,SYBR,,Unkn-19,,None
,C12,SYBR,,Unkn-19,,None
,D01,SYBR,,Std-04,,91
,D02,SYBR,,Std-04,,91
,D03,SYBR,,Std-04,,91
,D04,SYBR,,Unkn-04,,88
,D05,SYBR,,Unkn-04,,87.5
,D06,SYBR,,Unkn-04,,90
,D07,SYBR,,Unkn-12,,90
,D08,SYBR,,Unkn-12,,90
,D09,SYBR,,Unkn-12,,90
,D10,SYBR,,Unkn-20,,None
,D11,SYBR,,Unkn-20,,None
,D12,SYBR,,Unkn-20,,None
,E01,SYBR,,Std-05,,91
,E02,SYBR,,Std-05,,91
,E03,SYBR,,Std-05,,90.5
,E04,SYBR,,Unkn-05,,87.5
,E05,SYBR,,Unkn-05,,88.5
,E06,SYBR,,Unkn-05,,88.5
,E07,SYBR,,Unkn-13,,90
,E08,SYBR,,Unkn-13,,90
,E09,SYBR,,Unkn-13,,90
,E10,SYBR,,Unkn-21,,None
,E11,SYBR,,Unkn-21,,None
,E12,SYBR,,Unkn-21,,None
,F01,SYBR,,Std-06,,90.5
,F02,SYBR,,Std-06,,None
,F03,SYBR,,Std-06,,90.5
,F04,SYBR,,Unkn-06,,90.5
,F05,SYBR,,Unkn-06,,87.5
,F06,SYBR,,Unkn-06,,87.5
,F07,SYBR,,Unkn-14,,90.5
,F08,SYBR,,Unkn-14,,90.5
,F09,SYBR,,Unkn-14,,90.5
,F10,SYBR,,Unkn-22,,None
,F11,SYBR,,Unkn-22,,None
,F12,SYBR,,Unkn-22,,None
,G01,SYBR,,Std-07,,None
,G02,SYBR,,Std-07,,None
,G03,SYBR,,Std-07,,None
,G04,SYBR,,Unkn-07,,90
,G05,SYBR,,Unkn-07,,90
,G06,SYBR,,Unkn-07,,90
,G07,SYBR,,Unkn-15,,88
,G08,SYBR,,Unkn-15,,87.5
,G09,SYBR,,Unkn-15,,90.5
,G09,SYBR,,Unkn-15,,88
,G10,SYBR,,Unkn-23,,None
,G11,SYBR,,Unkn-23,,None
,G12,SYBR,,Unkn-23,,None
,H01,SYBR,,NTC,,None
,H02,SYBR,,NTC,,None
,H03,SYBR,,NTC,,None
,H04,SYBR,,Unkn-08,,91
,H05,SYBR,,Unkn-08,,91
,H06,SYBR,,Unkn-08,,91
,H07,SYBR,,Unkn-16,,89
,H08,SYBR,,Unkn-16,,89
,H09,SYBR,,Unkn-16,,89
,H10,SYBR,,Unkn-24,,None
,H11,SYBR,,Unkn-24,,None
,H12,SYBR,,Unkn-24,,None
